start_date,end_date,updated_date,value,load_factor,production_type,type,sub_type,start_query_date,end_query_date
2024-11-10 09:30:00+01:00,2024-11-10 10:00:00+01:00,2024-11-09T10:36:00+01:00,4180.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 10:00:00+01:00,2024-11-10 10:30:00+01:00,2024-11-09T10:36:00+01:00,4714.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 10:30:00+01:00,2024-11-10 11:00:00+01:00,2024-11-09T10:36:00+01:00,5212.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 11:00:00+01:00,2024-11-10 11:30:00+01:00,2024-11-09T10:36:00+01:00,5602.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 11:30:00+01:00,2024-11-10 12:00:00+01:00,2024-11-09T10:36:00+01:00,5934.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 12:00:00+01:00,2024-11-10 12:30:00+01:00,2024-11-09T10:36:00+01:00,6113.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 12:30:00+01:00,2024-11-10 13:00:00+01:00,2024-11-09T10:36:00+01:00,6227.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 13:00:00+01:00,2024-11-10 13:30:00+01:00,2024-11-09T10:36:00+01:00,6200.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 13:30:00+01:00,2024-11-10 14:00:00+01:00,2024-11-09T10:36:00+01:00,6034.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 14:00:00+01:00,2024-11-10 14:30:00+01:00,2024-11-09T10:36:00+01:00,5740.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 14:30:00+01:00,2024-11-10 15:00:00+01:00,2024-11-09T10:36:00+01:00,5314.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 15:00:00+01:00,2024-11-10 15:30:00+01:00,2024-11-09T10:36:00+01:00,4728.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 15:30:00+01:00,2024-11-10 16:00:00+01:00,2024-11-09T10:36:00+01:00,4074.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 16:00:00+01:00,2024-11-10 16:30:00+01:00,2024-11-09T10:36:00+01:00,3348.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 16:30:00+01:00,2024-11-10 17:00:00+01:00,2024-11-09T10:36:00+01:00,2734.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 17:00:00+01:00,2024-11-10 17:30:00+01:00,2024-11-09T10:36:00+01:00,2429.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 17:30:00+01:00,2024-11-10 18:00:00+01:00,2024-11-09T10:36:00+01:00,2422.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 18:00:00+01:00,2024-11-10 18:30:00+01:00,2024-11-09T10:36:00+01:00,2504.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 18:30:00+01:00,2024-11-10 19:00:00+01:00,2024-11-09T10:36:00+01:00,2541.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 19:00:00+01:00,2024-11-10 19:30:00+01:00,2024-11-09T10:36:00+01:00,2583.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 19:30:00+01:00,2024-11-10 20:00:00+01:00,2024-11-09T10:36:00+01:00,2598.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 20:00:00+01:00,2024-11-10 20:30:00+01:00,2024-11-09T10:36:00+01:00,2604.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 20:30:00+01:00,2024-11-10 21:00:00+01:00,2024-11-09T10:36:00+01:00,2619.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 21:00:00+01:00,2024-11-10 21:30:00+01:00,2024-11-09T10:36:00+01:00,2639.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 21:30:00+01:00,2024-11-10 22:00:00+01:00,2024-11-09T10:36:00+01:00,2658.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 22:00:00+01:00,2024-11-10 22:30:00+01:00,2024-11-09T10:36:00+01:00,2660.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 22:30:00+01:00,2024-11-10 23:00:00+01:00,2024-11-09T10:36:00+01:00,2642.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 23:00:00+01:00,2024-11-10 23:30:00+01:00,2024-11-09T10:36:00+01:00,2627.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 23:30:00+01:00,2024-11-11 00:00:00+01:00,2024-11-09T10:36:00+01:00,2620.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 00:00:00+01:00,2024-11-09 00:30:00+01:00,2024-11-08T13:25:00+01:00,2560.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 00:30:00+01:00,2024-11-09 01:00:00+01:00,2024-11-08T13:25:00+01:00,2530.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 01:00:00+01:00,2024-11-09 01:30:00+01:00,2024-11-08T13:25:00+01:00,2490.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 01:30:00+01:00,2024-11-09 02:00:00+01:00,2024-11-08T13:25:00+01:00,2428.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 02:00:00+01:00,2024-11-09 02:30:00+01:00,2024-11-08T13:25:00+01:00,2377.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 02:30:00+01:00,2024-11-09 03:00:00+01:00,2024-11-08T13:25:00+01:00,2346.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 03:00:00+01:00,2024-11-09 03:30:00+01:00,2024-11-08T13:25:00+01:00,2306.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 03:30:00+01:00,2024-11-09 04:00:00+01:00,2024-11-08T13:25:00+01:00,2274.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 04:00:00+01:00,2024-11-09 04:30:00+01:00,2024-11-08T13:25:00+01:00,2251.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 04:30:00+01:00,2024-11-09 05:00:00+01:00,2024-11-08T13:25:00+01:00,2224.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 05:00:00+01:00,2024-11-09 05:30:00+01:00,2024-11-08T13:25:00+01:00,2196.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 05:30:00+01:00,2024-11-09 06:00:00+01:00,2024-11-08T13:25:00+01:00,2187.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 06:00:00+01:00,2024-11-09 06:30:00+01:00,2024-11-08T13:25:00+01:00,2180.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 06:30:00+01:00,2024-11-09 07:00:00+01:00,2024-11-08T13:25:00+01:00,2148.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 07:00:00+01:00,2024-11-09 07:30:00+01:00,2024-11-08T13:25:00+01:00,2108.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 07:30:00+01:00,2024-11-09 08:00:00+01:00,2024-11-08T13:25:00+01:00,2107.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 08:00:00+01:00,2024-11-09 08:30:00+01:00,2024-11-08T13:25:00+01:00,2324.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 08:30:00+01:00,2024-11-09 09:00:00+01:00,2024-11-08T13:25:00+01:00,2772.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 09:00:00+01:00,2024-11-09 09:30:00+01:00,2024-11-08T13:25:00+01:00,3282.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 09:30:00+01:00,2024-11-09 10:00:00+01:00,2024-11-08T13:25:00+01:00,3836.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 10:00:00+01:00,2024-11-09 10:30:00+01:00,2024-11-08T13:25:00+01:00,4307.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 10:30:00+01:00,2024-11-09 11:00:00+01:00,2024-11-08T13:25:00+01:00,4739.0,,AGGREGATED_CPC,D-1,DA02,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
