start_date,end_date,updated_date,value,production_type,type,sub_type
2024-11-10 10:30:00+01:00,2024-11-10 11:00:00+01:00,2024-11-09T17:56:00+01:00,5233,AGGREGATED_CPC,D-1,ID00
2024-11-10 11:00:00+01:00,2024-11-10 11:30:00+01:00,2024-11-09T17:56:00+01:00,5619,AGGREGATED_CPC,D-1,ID00
2024-11-10 11:30:00+01:00,2024-11-10 12:00:00+01:00,2024-11-09T17:56:00+01:00,5964,AGGREGATED_CPC,D-1,ID00
2024-11-10 12:00:00+01:00,2024-11-10 12:30:00+01:00,2024-11-09T17:56:00+01:00,6162,AGGREGATED_CPC,D-1,ID00
2024-11-10 12:30:00+01:00,2024-11-10 13:00:00+01:00,2024-11-09T17:56:00+01:00,6302,AGGREGATED_CPC,D-1,ID00
2024-11-10 13:00:00+01:00,2024-11-10 13:30:00+01:00,2024-11-09T17:56:00+01:00,6294,AGGREGATED_CPC,D-1,ID00
2024-11-10 13:30:00+01:00,2024-11-10 14:00:00+01:00,2024-11-09T17:56:00+01:00,6108,AGGREGATED_CPC,D-1,ID00
2024-11-10 14:00:00+01:00,2024-11-10 14:30:00+01:00,2024-11-09T17:56:00+01:00,5796,AGGREGATED_CPC,D-1,ID00
2024-11-10 14:30:00+01:00,2024-11-10 15:00:00+01:00,2024-11-09T17:56:00+01:00,5385,AGGREGATED_CPC,D-1,ID00
2024-11-10 15:00:00+01:00,2024-11-10 15:30:00+01:00,2024-11-09T17:56:00+01:00,4805,AGGREGATED_CPC,D-1,ID00
2024-11-10 15:30:00+01:00,2024-11-10 16:00:00+01:00,2024-11-09T17:56:00+01:00,4146,AGGREGATED_CPC,D-1,ID00
2024-11-10 16:00:00+01:00,2024-11-10 16:30:00+01:00,2024-11-09T17:56:00+01:00,3409,AGGREGATED_CPC,D-1,ID00
2024-11-10 16:30:00+01:00,2024-11-10 17:00:00+01:00,2024-11-09T17:56:00+01:00,2778,AGGREGATED_CPC,D-1,ID00
2024-11-10 17:00:00+01:00,2024-11-10 17:30:00+01:00,2024-11-09T17:56:00+01:00,2458,AGGREGATED_CPC,D-1,ID00
2024-11-10 17:30:00+01:00,2024-11-10 18:00:00+01:00,2024-11-09T17:56:00+01:00,2425,AGGREGATED_CPC,D-1,ID00
2024-11-10 18:00:00+01:00,2024-11-10 18:30:00+01:00,2024-11-09T17:56:00+01:00,2480,AGGREGATED_CPC,D-1,ID00
2024-11-10 18:30:00+01:00,2024-11-10 19:00:00+01:00,2024-11-09T17:56:00+01:00,2514,AGGREGATED_CPC,D-1,ID00
2024-11-10 19:00:00+01:00,2024-11-10 19:30:00+01:00,2024-11-09T17:56:00+01:00,2558,AGGREGATED_CPC,D-1,ID00
2024-11-10 19:30:00+01:00,2024-11-10 20:00:00+01:00,2024-11-09T17:56:00+01:00,2578,AGGREGATED_CPC,D-1,ID00
2024-11-10 20:00:00+01:00,2024-11-10 20:30:00+01:00,2024-11-09T17:56:00+01:00,2602,AGGREGATED_CPC,D-1,ID00
2024-11-10 20:30:00+01:00,2024-11-10 21:00:00+01:00,2024-11-09T17:56:00+01:00,2644,AGGREGATED_CPC,D-1,ID00
2024-11-10 21:00:00+01:00,2024-11-10 21:30:00+01:00,2024-11-09T17:56:00+01:00,2683,AGGREGATED_CPC,D-1,ID00
2024-11-10 21:30:00+01:00,2024-11-10 22:00:00+01:00,2024-11-09T17:56:00+01:00,2712,AGGREGATED_CPC,D-1,ID00
2024-11-10 22:00:00+01:00,2024-11-10 22:30:00+01:00,2024-11-09T17:56:00+01:00,2730,AGGREGATED_CPC,D-1,ID00
2024-11-10 22:30:00+01:00,2024-11-10 23:00:00+01:00,2024-11-09T17:56:00+01:00,2730,AGGREGATED_CPC,D-1,ID00
2024-11-10 23:00:00+01:00,2024-11-10 23:30:00+01:00,2024-11-09T17:56:00+01:00,2727,AGGREGATED_CPC,D-1,ID00
2024-11-10 23:30:00+01:00,2024-11-11 00:00:00+01:00,2024-11-09T17:56:00+01:00,2722,AGGREGATED_CPC,D-1,ID00
2024-11-10 00:00:00+01:00,2024-11-10 00:30:00+01:00,2024-11-09T22:05:00+01:00,2006,AGGREGATED_CPC,D-1,ID01
2024-11-10 00:30:00+01:00,2024-11-10 01:00:00+01:00,2024-11-09T22:05:00+01:00,2028,AGGREGATED_CPC,D-1,ID01
2024-11-10 01:00:00+01:00,2024-11-10 01:30:00+01:00,2024-11-09T22:05:00+01:00,2080,AGGREGATED_CPC,D-1,ID01
2024-11-10 01:30:00+01:00,2024-11-10 02:00:00+01:00,2024-11-09T22:05:00+01:00,2104,AGGREGATED_CPC,D-1,ID01
2024-11-10 02:00:00+01:00,2024-11-10 02:30:00+01:00,2024-11-09T22:05:00+01:00,2104,AGGREGATED_CPC,D-1,ID01
2024-11-10 02:30:00+01:00,2024-11-10 03:00:00+01:00,2024-11-09T22:05:00+01:00,2116,AGGREGATED_CPC,D-1,ID01
2024-11-10 03:00:00+01:00,2024-11-10 03:30:00+01:00,2024-11-09T22:05:00+01:00,2128,AGGREGATED_CPC,D-1,ID01
2024-11-10 03:30:00+01:00,2024-11-10 04:00:00+01:00,2024-11-09T22:05:00+01:00,2140,AGGREGATED_CPC,D-1,ID01
2024-11-10 04:00:00+01:00,2024-11-10 04:30:00+01:00,2024-11-09T22:05:00+01:00,2156,AGGREGATED_CPC,D-1,ID01
2024-11-10 04:30:00+01:00,2024-11-10 05:00:00+01:00,2024-11-09T22:05:00+01:00,2169,AGGREGATED_CPC,D-1,ID01
2024-11-10 05:00:00+01:00,2024-11-10 05:30:00+01:00,2024-11-09T22:05:00+01:00,2179,AGGREGATED_CPC,D-1,ID01
2024-11-10 05:30:00+01:00,2024-11-10 06:00:00+01:00,2024-11-09T22:05:00+01:00,2180,AGGREGATED_CPC,D-1,ID01
2024-11-10 06:00:00+01:00,2024-11-10 06:30:00+01:00,2024-11-09T22:05:00+01:00,2184,AGGREGATED_CPC,D-1,ID01
2024-11-10 06:30:00+01:00,2024-11-10 07:00:00+01:00,2024-11-09T22:05:00+01:00,2192,AGGREGATED_CPC,D-1,ID01
2024-11-10 07:00:00+01:00,2024-11-10 07:30:00+01:00,2024-11-09T22:05:00+01:00,2194,AGGREGATED_CPC,D-1,ID01
2024-11-10 07:30:00+01:00,2024-11-10 08:00:00+01:00,2024-11-09T22:05:00+01:00,2249,AGGREGATED_CPC,D-1,ID01
2024-11-10 08:00:00+01:00,2024-11-10 08:30:00+01:00,2024-11-09T22:05:00+01:00,2552,AGGREGATED_CPC,D-1,ID01
2024-11-10 08:30:00+01:00,2024-11-10 09:00:00+01:00,2024-11-09T22:05:00+01:00,3084,AGGREGATED_CPC,D-1,ID01
2024-11-10 09:00:00+01:00,2024-11-10 09:30:00+01:00,2024-11-09T22:05:00+01:00,3650,AGGREGATED_CPC,D-1,ID01
2024-11-10 09:30:00+01:00,2024-11-10 10:00:00+01:00,2024-11-09T22:05:00+01:00,4278,AGGREGATED_CPC,D-1,ID01
2024-11-10 10:00:00+01:00,2024-11-10 10:30:00+01:00,2024-11-09T22:05:00+01:00,4813,AGGREGATED_CPC,D-1,ID01
2024-11-10 10:30:00+01:00,2024-11-10 11:00:00+01:00,2024-11-09T22:05:00+01:00,5312,AGGREGATED_CPC,D-1,ID01
2024-11-10 11:00:00+01:00,2024-11-10 11:30:00+01:00,2024-11-09T22:05:00+01:00,5701,AGGREGATED_CPC,D-1,ID01
2024-11-10 11:30:00+01:00,2024-11-10 12:00:00+01:00,2024-11-09T22:05:00+01:00,6032,AGGREGATED_CPC,D-1,ID01
